"description","dataelement_formname","dataelement_uid",
"Check if the following rooms have (i. Running water with water basins, and established drainage system. (ii.) Reagents for malaria test, plus mRDT (iii.) Tuberculosis microscopy (iv.) Urinalysis, haemoglobin testing (Haemocue machine) (v.) HIV diagnosis  (vi). Syphilis rapid test (vii).Dried blood spot collection (viii.) Blood grouping test, refrigerator with at least five units of blood (ix). Tubes for blood collection","9.4.1 8. Specified essential equipment and furniture is available in Laboratory","OW4kI1z3yyZ",
"i. Running water with water basins, and established drainage system. ii. At least 2 microscope, and slides, Stool microscopy iii. Reagents for malaria test, plus mRDT iv. Tuberculosis microscopy v. Urinalysis, haemoglobin testing (Haemocue machine) vi. HIV diagnosis vii. Syphilis rapid test viii. Dried blood spot collection ix. Blood grouping test, refrigerator with at least five units of blood x. Tubes for blood collection","9.4.1 8. Specified essential equipment and furniture is available in Laboratory?","OqqWCjErg6n",
"Check for i. 2 beds, ii. BP machine iii. examination bed iv. screen v. drip stand","9.4.1 8. Specified essential equipment and furniture is available in Observation rooms (At least one room)","IXftyBBFWgZ",
"Check for table with benches, bucket with safe water, sachets of ORS, disposable cups","9.4.1 9. Specified essential equipment and furniture is available in Diarrhoea and Treatment Corner (DTC)","KtnttYJkj3N",
"Check if the following rooms have  (i.) Examination bed (ii.) Functioning adult weighing scale (iii.) Height measuring rod (iv.) BP machines (v.) Fetoscope","9.4.1 9. Specified essential equipment and furniture is available in RCH Service Room","io8nUWJq2O3",
"Check if the following rooms have  (i.) Examination bed (ii.) Functioning adult weighing scale (iii.) Height measuring rod (iv.) BP machines (v.) Fetoscope","9.4.1 9. Specified essential equipment and furniture is available in RCH Service Room","io8nUWJq2O3",
"i. Examination bed ii. Functioning adult weighing scale iii. Height measuring rod iv. BP machines v. Fetoscope","9.4.1 9. Specified essential equipment and furniture is available in RCH Service Room","F9ImFWoe5mU",
,"Are individual job descriptions available for all staff and signed?","b3OiDSySUxG",
,"Are individual job descriptions available for all staff and signed?","b3OiDSySUxG",
,"Ask the facility manager for the number allocated compared with establishment (shown in brackets) for each cadre listed below(Laboratory Assistant (1))","QvE0wCAz1W5",
,"BRN_Dispensary Adrenaline injection","SwgB4VtP0zD",
,"BRN_Dispensary Albendazole or Mebendazole oral","lEcjSJsGDFv",
,"BRN_Dispensary Ambu bag and mask of different sizes","nndQu0lnlh8",
,"BRN_Dispensary Amoxycillin or Cotrimoxazole oral","xebarXruaXS",
,"BRN_Dispensary Antenatal care follows guidelines","RRcu0DHk0Pd",
,"BRN_Dispensary Artemether / Lumefantrine (ALu) oral","Xgh90KcXZCf",
,"BRN_Dispensary Artesunate injection*","OOzYVo4p5dl",
,"BRN_Dispensary Available resources displayed","w2Rqxh8Cp1y",
,"BRN_Dispensary Benzylpenicillin or Ampicillin injection","za9toV2Wdra",
,"BRN_Dispensary Cannulas (paediatric and adult)","WDxzET3cOZy",
,"BRN_Dispensary Catchement population served by this facility source","O76ycvYGbXc",
,"BRN_Dispensary Catheters","T6fx3se2ovJ",
,"BRN_Dispensary Child growth monitoring per G/L","PMZ4HigFHUl",
,"BRN_Dispensary Client satisfaction","RhZ7aMYs8rE",
,"BRN_Dispensary Client waiting time monitored","FoU6YQE9FKJ",
,"BRN_Dispensary Compound and surrounds well kept","SNKo8In2zBQ",
,"BRN_Dispensary Condition of buildings","yVsKPJog0tD",
,"BRN_Dispensary Conducive waiting area","BE1lifPpLv7",
,"BRN_Dispensary Consultation rooms (at least one room).","L3z3l0hzulM",
,"BRN_Dispensary correct labelling","zOtvjWNh5yU",
,"BRN_Dispensary Dextrose 5% or Sodium Chloride + Dextrose IV inj","TtfutLa8aro",
,"BRN_Dispensary Diazepam injection","f02GUkeLRPR",
,"BRN_Dispensary DPT + HepB/ HiB vaccine for immunization","WbXSduhnInU",
,"BRN_Dispensary Duty & on-call allowances provided","xDme6mncewn",
,"BRN_Dispensary Ergometrine inj. or Oxytocin inj. or Misoprostol oral","VYTPekOQPgi",
,"BRN_Dispensary Essential lab. tests following SOPs","fbYLI5HGUEx",
,"BRN_Dispensary Family planning follows guidelines","o0T8W6d4haX",
,"BRN_Dispensary Functional toilets","Jf5eHsBM5sO",
,"BRN_Dispensary Glucometer and sticks","cRuEZaen1Tr",
,"BRN_Dispensary Glucose 10%, 25% or 50% injection","aDmeYRGrTyt",
,"BRN_Dispensary Good storage and handling","Q00b6Mi5uyB",
,"BRN_Dispensary Guidelines & SOPs for emergencies","AfS13cL25In",
,"BRN_Dispensary hand washing and hygiene performed as per SOP","S8WaVK77cLL",
,"BRN_Dispensary Handwashing performed","mmqwbPFq3WZ",
,"BRN_Dispensary Health education planned","ZW7Gqf8KN2c",
,"BRN_Dispensary Human resources allocated","J4wcMe3sVDl",
,"BRN_Dispensary Human resources available","TW97gpio2Pg",
,"BRN_Dispensary Human resources managed","Q81NCnhynN5",
,"BRN_Dispensary Hydrocortisone injection","WBN2bXQXaP3",
,"BRN_Dispensary instruction of the patient on correct use of the medicine","elKZZ0avtTn",
,"BRN_Dispensary Inventory management per G/L","JHu0CTn96B5",
,"BRN_Dispensary issue of correct medicine","mxIDMgLn6RD",
,"BRN_Dispensary Laboratory equipped","RTyizMwf04g",
,"BRN_Dispensary Lab safety systems in place","FbCVw0AcsfC",
,"BRN_Dispensary Lab supplies management system in place","hyAnSIGc6xq",
,"BRN_Dispensary Local expenditure on medicines","aWnMTG9G53a",
,"BRN_Dispensary Magnesium sulphate injection*","gwq80NPAPBV",
,"BRN_Dispensary Malaria rapid diagnostic test (MRDT) or Supplies for malaria microscopy","RBYpFzsmXBh",
,"BRN_Dispensary Management team functional","aAClw1iyL1a",
,"BRN_Dispensary Maternal death audit within 24 hrs","lyg8UUZatRv",
,"BRN_Dispensary Medroxyprogesterone injectable Contraceptive","BC0MfZGs5VR",
,"BRN_Dispensary Nasogastric tubes (paediatric and adult)","x8kndCISdQt",
,"BRN_Dispensary Needles and syringes (Paediatric and adult)","aTlJCauP5kE",
,"BRN_Dispensary Optimal client flow","VfhaqvsA3rX",
,"BRN_Dispensary OP treatment adheres to guidelines","m7jyajWtbDx",
,"BRN_Dispensary Oral Rehydration Salts","nyvyMoILcD8",
,"BRN_Dispensary Outpatients are treated according to standard treatment guidelines","BwAic5Hvsn2",
,"BRN_Dispensary Oxygen and functional delivery apparatus or Oxygen concentrator","W7e4JYkwRg1",
,"BRN_Dispensary Partographs correctly filled","vTPXyc69nOZ",
,"BRN_Dispensary PPM implemented","IhUYtZYBGOe",
,"BRN_Dispensary Privacy ensured","LXCxhAmX1Wd",
,"BRN_Dispensary Quality improvement framework","dgRCYEM1XLX",
,"BRN_Dispensary Reliable power with back-up supply","s60wZwc4Hrf",
,"BRN_Dispensary Reliable water supply","MHIUxroXrOG",
,"BRN_Dispensary review of prescription","VYSL9SlFga2",
,"BRN_Dispensary Ringer lactate and/or Normal saline IV fluid","JgqYfIBzaBs",
,"BRN_Dispensary RMNCAH guidelines available","LrZ8gMrJE4U",
,"BRN_Dispensary Rooms well ventilated and lit","VRWsfyQtVMQ",
,"BRN_Dispensary Salbutamol for inhalation (with spacer for children)","mBWsLc24cRV",
,"BRN_Dispensary Services equipped and furnished","HT5uwmkShkp",
,"BRN_Dispensary Staff trained in PPM","oM6LJlxVcLz",
,"BRN_Dispensary Suction machines and suction tubes of different sizes","wOGfpe72343",
,"BRN_Dispensary Surgical gloves","N6VkLtW1TE0",
,"BRN_Dispensary Syringe and needle, disposable","Mfvqn6zHwv9",
,"BRN_Dispensary Thermometer","SuxI1JB0RSV",
,"BRN_Dispensary Tourniquet","jqBM9HAM8iR",
,"BRN_Dispensary Turnaround time for lab results","VqXtWyLn6it",
,"BRN_Dispensary unctional incinerator OR burning pit, and placenta pit; OR a waste removal and disposal contract","nTLpTAY9pJS",
,"BRN_Hospital Albendazole or Mebendazole oral(a)","Q5MrTVyEk0v",
,"BRN_Hospital Albendazole or Mebendazole oral(b)","mhZZS41VlxZ",
,"BRN_Hospital Albendazole or Mebendazole oral(c)","bT2xZOP71W0",
,"BRN_Hospital Albendazole or Mebendazole oral(d)","pyHeXxVDhda",
,"BRN_Hospital  any of the facility staff trained on the current HMIS","SRhI8EStnvt",
,"BRN_Hospital  any of the facility staff trained on the current HMIS","SRhI8EStnvt",
,"BRN_Hospital Artemether / Lumefantrine (ALu) oral(a)","OArNrgcJY7s",
,"BRN_Hospital Artemether / Lumefantrine (ALu) oral(b)","iQo7DZa3DJg",
,"BRN_Hospital Artemether / Lumefantrine (ALu) oral(c)","wjFVjMRqdqq",
,"BRN_Hospital Artemether / Lumefantrine (ALu) oral(d)","XwPi5qurQWm",
,"BRN_Hospital Assistant Environmental Health Officer","PX4Seimr4Ds",
,"BRN_Hospital Assistant Environmental Health Officer","PX4Seimr4Ds",
,"BRN_Hospital Assistant Laboratory Technologist","gGhQorld1MM",
,"BRN_Hospital Assistant Laboratory Technologist","gGhQorld1MM",
,"BRN_Hospital Assistant Medical officer (16) number","r6M04ESAmRx",
,"BRN_Hospital Assistant Nursing officer (33) number","pUYGw96nGsb",
,"BRN_Hospital availability and condition of patient preparation area, changing room, scrubbing area, operating room and recovery room","lN2F9le4pYY",
,"BRN_Hospital availability and condition of patient preparation area, changing room, scrubbing area, operating room and recovery room","lN2F9le4pYY",
,"BRN_Hospital availability of sterilization facility for equipment and linen","teVnpu29WK5",
,"BRN_Hospital availability of sterilization facility for equipment and linen","teVnpu29WK5",
,"BRN_Hospital available Assistant Environmental  Health Officer","MAnH5hPmq7A",
,"BRN_Hospital available Assistant Environmental  Health Officer","MAnH5hPmq7A",
,"BRN_Hospital available Assistant Nursing officer (33) number","vQeEa8TAA38",
,"BRN_Hospital available Assistant pharmaceutical tecchnologist","Mkb5AudzdD0",
,"BRN_Hospital available Assistant pharmaceutical tecchnologist","Mkb5AudzdD0",
,"BRN_Hospital available Medical Attendants (44) number","pVKentnp08h",
,"BRN_Hospital available Medical officer (8) number","Ssb5LHWc9cx",
,"BRN_Hospital available Nurses (33) number","A6nLos74bGu",
,"BRN_Hospital available Nursing Officer (12) number","Kh6hH7cqF2N",
,"BRN_Hospital Bio medical Technologist","WRe1eK81Prx",
,"BRN_Hospital Bio medical Technologist","WRe1eK81Prx",
,"BRN_Hospital catchment population served by this facility_source","WZaGLTXmhNb",
,"BRN_Hospital catchment population served by this facility_source","WZaGLTXmhNb",
,"BRN_Hospital CHGC /HB give feedback to the CHSB","JBp01LUobO3",
,"BRN_Hospital CHGC /HB give feedback to the CHSB","JBp01LUobO3",
,"BRN_Hospital Clinical Officers/ Clinical Assistant (8) number","zsBUAPmk7rv",
,"BRN_Hospital controlled access into the theatre","KZu2tA07TRC",
,"BRN_Hospital controlled access into the theatre","KZu2tA07TRC",
,"BRN_Hospital correct labelling case1","fwiEhqy1P0S",
,"BRN_Hospital correct labelling case2","rmJNUA7LLY5",
,"BRN_Hospital correct labelling case3","jxckmTOi3jz",
,"BRN_Hospital Dextrose 5% or Sodium Chloride + Dextrose IV inj(a)","ao3zfkyN3pb",
,"BRN_Hospital Dextrose 5% or Sodium Chloride + Dextrose IV inj(b)","gs80Ids0oS0",
,"BRN_Hospital Dextrose 5% or Sodium Chloride + Dextrose IV inj(c)","XAjDuv740kr",
,"BRN_Hospital Dextrose 5% or Sodium Chloride + Dextrose IV inj(d)","SKfiEiilxz1",
,"BRN_Hospital DPT + HepB/ HiB vaccine for immunization(a)","kauq5tDxuBJ",
,"BRN_Hospital DPT + HepB/ HiB vaccine for immunization(b)","vFMr1zJMi1O",
,"BRN_Hospital DPT + HepB/ HiB vaccine for immunization(c)","Vu8ZLHMCwuP",
,"BRN_Hospital DPT + HepB/ HiB vaccine for immunization(d)","uKYmrD4FNpm",
,"BRN_Hospital Ergometrine inj. or Oxytocin inj. or Misoprostol oral(a)","BRgEfTATGjD",
,"BRN_Hospital Ergometrine inj. or Oxytocin inj. or Misoprostol oral(b)","FAMbOu8Uj2h",
,"BRN_Hospital Ergometrine inj. or Oxytocin inj. or Misoprostol oral(c)","zx2SzHzBs34",
,"BRN_Hospital Ergometrine inj. or Oxytocin inj. or Misoprostol oral(d)","P42m2pZw4Jd",
,"BRN_Hospital instruction of the patient on correct use of the medicine case1","owwKGdEL6qj",
,"BRN_Hospital instruction of the patient on correct use of the medicine case2","nIh23TyfVff",
,"BRN_Hospital instruction of the patient on correct use of the medicine case3","T4oVN7XeQJJ",
,"BRN_Hospital issue of correct medicine case1","dVQuzqzxrp9",
,"BRN_Hospital issue of correct medicine case2","NMeekKTMKE0",
,"BRN_Hospital issue of correct medicine case3","EshIDFrC1b7",
,"BRN_Hospital Laboratory Technologist","lEvjFozKg4L",
,"BRN_Hospital Laboratory Technologist","lEvjFozKg4L",
,"BRN_Hospital Malaria rapid diagnostic test (MRDT) or Supplies for malaria microscopy(a)","XZABSaNsB81",
,"BRN_Hospital Malaria rapid diagnostic test (MRDT) or Supplies for malaria microscopy(b)","Sxy1SEkEAps",
,"BRN_Hospital Malaria rapid diagnostic test (MRDT) or Supplies for malaria microscopy(c)","Edfvf2Q4bvz",
,"BRN_Hospital Malaria rapid diagnostic test (MRDT) or Supplies for malaria microscopy(d)","tGNcCe82PDy",
,"BRN_Hospital Medical Attendants (44) number","ZbyUALZIFy7",
,"BRN_Hospital Medical officer","jHmgrmNZzOT",
,"BRN_Hospital Medical officer","jHmgrmNZzOT",
,"BRN_Hospital Medical Officer (8) number","Xtn7f86LZkB",
,"BRN_Hospital Medroxyprogesterone injectable Contraceptive(a)","yjzcUiGBPol",
,"BRN_Hospital Medroxyprogesterone injectable Contraceptive(b)","hZGIthHHyEW",
,"BRN_Hospital Medroxyprogesterone injectable Contraceptive(c)","LPrfDXJmC31",
,"BRN_Hospital Medroxyprogesterone injectable Contraceptive(d)","jqefX8DHhQx",
,"BRN_Hospital Nurses (33) number","jGOZekeXqDW",
,"BRN_Hospital Nursing Officer (12) number","YHAAghvTYX5",
,"BRN_Hospital Oral Rehydration Salts(a)","uMifzy2oy1L",
,"BRN_Hospital Oral Rehydration Salts(b)","d6MbBeZF5W1",
,"BRN_Hospital Oral Rehydration Salts(c)","tGRPA3OmlYU",
,"BRN_Hospital Oral Rehydration Salts(d)","WcscrcaI1HJ",
,"BRN_Hospital Pharmacy Store equipped as specified","dcbWsVpACXX",
,"BRN_Hospital Pharmacy Store equipped as specified","dcbWsVpACXX",
,"BRN_Hospital Radiographer technologist","ZNhfko4hfu8",
,"BRN_Hospital Radiographer technologist","ZNhfko4hfu8",
,"BRN_Hospital Radiology scientist","iu32UQHBJgN",
,"BRN_Hospital Radiology scientist","iu32UQHBJgN",
,"BRN_Hospital review of prescription case1","TUNnW6PdrOC",
,"BRN_Hospital review of prescription case2","fF1hAh7bGFM",
,"BRN_Hospital review of prescription case3","fvL0zVEHpwE",
,"BRN_Hospital secure storage and register for controlled medicines (DDAs)","lr4FHuVGykx",
,"BRN_Hospital secure storage and register for controlled medicines (DDAs)","lr4FHuVGykx",
,"BRN_Hospital Syringe and needle, disposable(a)","A7o6X6FdEns",
,"BRN_Hospital Syringe and needle, disposable(b)","q7cLYIA4hRx",
,"BRN_Hospital Syringe and needle, disposable(c)","y8MyS5wjb8a",
,"BRN_Hospital Syringe and needle, disposable(d)","uTYjmyML9XH",
,"BRN_Hospital  the HMIS Summary Book in use and is correctly filled for the previous month","C8KiA8jvIfH",
,"BRN_Hospital  the HMIS Summary Book in use and is correctly filled for the previous month","C8KiA8jvIfH",
,"DATE OF ASSESSMENT","Oat3ym0315d",
,"DATE OF ASSESSMENT","NHWMki5UB5H",
,"DATE OF ASSESSMENT","OeedaRFkyGL",
,"DATE OF ASSESSMENT","NHWMki5UB5H",
,"Designation for Assessor 2","LlypTobskoQ",
,"Designation for Assessor 3","LehZaQ3f7di",
,"Designation for assessor one","H6JLLo9Eddv",
,"Designation for incharge","gTPxrR5LKLo",
,"Designation of assessor one","W4LjPMF7APL",
,"Designation of assessor one","nylfaU5IzVf",
,"Designation of assessor three","t1dxbSl9Hkk",
,"Designation of assessor three","t1dxbSl9Hkk",
,"Designation of assessor three","AmJ3Wmh50dG",
,"Designation of assessor two","VAHJWOAgths",
,"Designation of assessor two","VAHJWOAgths",
,"Designation of assessor two","oUJ4iG0hOi4",
,"Designation:of in-charge","YGeNgpakSfp",
,"Designation:of in-charge","YGeNgpakSfp",
,"Designation of name in charge","bePdxAubQxe",
,"Facility Code (DHIS/HFR)","li4fGF8D8cf",
,"Facility Code (DHIS/HFR)","zjzsNS7PbtH",
,"Facility Code (DHIS/HFR)","y4ZmLWtLz65",
,"Facility Code (DHIS/HFR)","zjzsNS7PbtH",
,"Facility GPS Code (DHIS/HFR) Latitude","mVRqECmE9Bs",
,"Facility GPS Code (DHIS/HFR) Latitude","HYaQiYjATwD",
,"Facility GPS Code (DHIS/HFR) Latitude","eGLdbASzF3x",
,"Facility GPS Code (DHIS/HFR) Latitude","HYaQiYjATwD",
,"Facility GPS Code (DHIS/HFR) Longitude","mfsazj8b5b2",
,"Facility GPS Code (DHIS/HFR) Longitude","oVoAjNIAuFr",
,"Facility GPS Code (DHIS/HFR) Longitude","x8sQ1XSf9Py",
,"Facility GPS Code (DHIS/HFR) Longitude","mfsazj8b5b2",
,"Facility GPS(DHIS/HFR) period collected(month-year)","p6paa3flFQD",
,"Facility GPS(DHIS/HFR) Source name","s6ns7lUInU5",
,"Facility Location","F8tyYiqWKY7",
,"Facility Location","G1GnRfkBIoG",
,"Facility Location","G1GnRfkBIoG",
,"Facility Location","clfV5XOagTQ",
,"Facility Manager (In Charge) Gender","ChMxPjGbklp",
,"Facility Manager (In Charge) Gender","jjo3zUtOSHv",
,"Facility Manager (In Charge) Gender","ChMxPjGbklp",
,"Facility Manager (In Charge) Gender","NW3HdGU1ZBR",
,"Facility Manager (In Charge) Name","QceinxyRjsp",
,"Facility Manager (In Charge) Name","bebof6XHNQz",
,"Facility Manager (In Charge) Name","kgZq1DM8Cim",
,"Facility Manager (In Charge) Name","bebof6XHNQz",
,"Facility Manager (In Charge) Qualification","FClmCgaufMr",
,"Facility Manager (In Charge) Qualification","VtZfFNAQOeH",
,"Facility Manager (In Charge) Qualification","FClmCgaufMr",
,"Facility Manager (In Charge) Qualification","jlFAd1hqUPj",
,"Facility Manager (In Charge) Tel. No Mobile","nWzuvhA8qiv",
,"Facility Manager (In Charge) Tel. No Mobile","luahV0OWZf5",
,"Facility Manager (In Charge) Tel. No Mobile","nWzuvhA8qiv",
,"Facility Manager (In Charge) Tel. No Office","DIrasbDsKuz",
,"Facility Manager (In Charge) Tel. No Office","iLWclaeHK6t",
,"Facility Manager (In Charge) Tel. No Office","DIrasbDsKuz",
"Enter name as registered in HMIS","Facility Name (DHIS/HFR)","NbcCVYLXVkA",
"Enter name as registered in HMIS","Facility Name (DHIS/HFR)","XPM0X8m1lP8",
"Enter name as registered in HMIS","Facility Name (DHIS/HFR)","NbcCVYLXVkA",
"Enter name authority","Facility Owner (institution / authority)","vcUfwrxmsVG",
"Enter name authority","Facility Owner (institution / authority)","vcUfwrxmsVG",
"Select category as appropiate","Facility Owner (institution / authority) private Category","J4IBD46BgCa",
,"Facility Owner (institution / authority) private Category","ctb9wKLcl3m",
"Enter name authority","Facility Owner (institution / authority) private Name","RYFouuq8lgE",
,"Facility Owner (institution / authority) Private Name","lR2v3uPBdJe",
,"Facility Owner (institution / authority) public category","pRRJ0Ty9dRz",
"Select category as appropiate","Facility Owner (institution / authority) public category","KXxQZXvocR0",
"Enter name authority","Facility Owner (institution / authority) Public Name","t3ZkaLObhJM",
,"Facility Owner (institution / authority) Public Name","jxVy44qw0G2",
"Select category as appropiate","Facility ownership category","AxyOQuYgBy8",
"Select category as appropiate","Facility ownership category","AxyOQuYgBy8",
,"Facility Ownership category","iVL3d9hxJ2p",
,"Facility Ownership Category","BudMj7vXBOm",
"On the day of assessment","GPS READING?","YWN3wIC6pcZ",
"On the day of assessment","GPS READING?","yiAQdq6J9RJ",
"On the day of assessment","GSP reading","Nv3D6XwYsdx",
"On the day of assessment","GSP reading","Nv3D6XwYsdx",
,"How many of each staff cadre have been allocated to this facility?(Nurses (2))","YgOJ8xRToso",
,"How many of each staff cadre have reported at the duty station?(Medical record technician (3))","lBTRbUetMOS",
,"How many of each staff cadre have reported at the duty station?(Medical record technician (3))","lBTRbUetMOS",
,"Indicate catchment population served by this facility source","n2GxlwzhBf1",
,"Indicate catchment population served by this facility source","h2SdD3EQ8PY",
,"Indicate catchment population served by this facility source","WqVMb6ek7ZR",
"Team leader","NAME OF ASSESSOR 1","AfLIbOOxYli",
"Team leader","NAME OF ASSESSOR 1","va3dUkfiHPl",
"Team leader","NAME OF ASSESSOR 1","AfLIbOOxYli",
"Team leader","NAME OF ASSESSOR 1","va3dUkfiHPl",
"Team leader","NAME OF ASSESSOR 1","kvYOq9MT3MJ",
,"NAME OF ASSESSOR 2","bk1fDqJGeol",
,"NAME OF ASSESSOR 2","ks1bFDlpRes",
,"NAME OF ASSESSOR 2","MmwUwPeEXPL",
,"NAME OF ASSESSOR 2","ks1bFDlpRes",
,"NAME OF ASSESSOR 3","PbkxwibfvxV",
,"NAME OF ASSESSOR 3","LVeitVQeikI",
,"NAME OF ASSESSOR 3","LVeitVQeikI",
,"NAME OF ASSESSOR 3","Jz6pKHqp29W",
"On the day of assessment","NAME OF IN CHARGE","NFiYBFzNWWS",
"On the day of assessment","NAME OF IN CHARGE","MyQ76x3B0hQ",
"On the day of assessment","NAME OF IN CHARGE","MyQ76x3B0hQ",
"On the day of assessment","NAME OF IN CHARGE","dV8ZiZ6BHGX",
,"On average, how many outpatients seen each day for Moth 1?","LPQrf3ZjbBM",
,"On average, how many outpatients seen each day for Moth 1?","LPQrf3ZjbBM",
,"On average, how many outpatients seen each day for Moth 2?","l15kfVI8ocC",
,"On average, how many outpatients seen each day for Moth 2?","l15kfVI8ocC",
,"Outpatients seen in MONTH 1","eJ7r7RHv50p",
,"Outpatients seen in MONTH 1","CCUTsIdPHeD",
,"Outpatients seen in MONTH 2","A2NjhCGbE9m",
,"Outpatients seen in MONTH 2","JGaQdVs9FHH",
"Include facility signage","PHOTOGRAPHED?","pxrVhTNIJnK",
"Include facility signage","PHOTOGRAPHED?","pxrVhTNIJnK",
"Include facility signage","PHOTOGRAPHED?","FQHanhn68wK",
"Include facility signage","PHOTOGRAPHED?","ZDaFSrBToB7",
,"PREVIOUS ASSIGNMENT","tJRXqQVva1E",
,"PREVIOUS ASSIGNMENT","HWhsLNG6oGw",
"If applicable","PREVIOUS ASSIGNMENT","wL0WAtxB2zW",
,"PREVIOUS ASSIGNMENT","HWhsLNG6oGw",
"Composed of Year, Region, and Serial Number for star rating team assignment in that region in that year, e.g. 2015-MWA-01","Star Rating Assignment","HFTlk3hgUnR",
,"Star Rating Assignment","VKWqRrpGe3f",
,"Star Rating Assignment","VKWqRrpGe3f",
,"TEL. NO OF ASSESSOR 1","XT16nFChfqp",
,"TEL. NO OF ASSESSOR 1","iJb1L9hUIyc",
,"TEL. NO OF ASSESSOR 1","XT16nFChfqp",
,"TEL. NO OF ASSESSOR 1","R5cEtD11aQw",
,"TEL NO OF ASSESSOR 2","Fm7OdaJLbHa",
,"TEL NO OF ASSESSOR 2","ZD1gHj2cNK3",
,"TEL NO OF ASSESSOR 2","o6OdWLS6kDP",
,"TEL NO OF ASSESSOR 2","ZD1gHj2cNK3",
,"TEL NO OF ASSESSOR 3","npCgyrVTybI",
,"TEL NO OF ASSESSOR 3","Kn8LzmgSL1L",
,"TEL NO OF ASSESSOR 3","FNAyhWKuAbb",
,"TEL NO OF ASSESSOR 3","FNAyhWKuAbb",
"24 hour format","TIME FINISHED","jZqAyPneFiL",
,"TIME FINISHED","zWektHtKCS3",
,"TIME FINISHED","IMTLCWyyrYp",
,"TIME FINISHED","IMTLCWyyrYp",
,"TIME STARTED","EzVjVOAQWW3",
,"TIME STARTED","EzVjVOAQWW3",
,"TIME STARTED","NwuYMnAGlGc",
"24 hour format","TIME STARTED","EV7yZxJQZXD",
,"What is the catchment population served by this facility?","Bj1utS9z202",
,"What is the catchment population served by this facility?","Q1vFXaq3JCk",
,"What is the catchment population served by this facility?","XvcFeeroeIR",
,"What is the catchment population served by this facility?","Q1vFXaq3JCk",
,"X_BRN_Hospital Amoxycillin or Cotrimoxazole oral(a)","bLlWWeFPs4j",
,"X_BRN_Hospital Amoxycillin or Cotrimoxazole oral(b)","D48oczudiAC",
,"X_BRN_Hospital Amoxycillin or Cotrimoxazole oral(c)","V0EzxGYht7E",
,"X_BRN_Hospital Amoxycillin or Cotrimoxazole oral(d)","SulPZwoqWio",
,,"BrnDE000307",
,,"BrnDE000306",
,,"BrnDE000305",
,,"BrnDE000304",
,,"BrnDE000303",
,,"BrnDE000302",
,,"BrnDE000301",
,,"BrnDE000300",
,,"BrnDE000293",
,,"BrnDE000292",
,,"BrnDE000299",
,,"AxhRQ0DvfH1",
,,"BrnDE000298",
,,"Q3ublrxvK3E",
,,"BrnDE000297",
,,"oMsGw06CeGr",
,,"BrnDE000296",
"Rgeiona name of which the facility is found",,"xARqvK8qLeM",
,,"q5pPpoHizo7",
,,"BrnDE000295",
,,"BrnDE000294",
,,"BrnDE000291",
,,"BrnDE000290",
,,"BrnDE000288",
,,"BrnDE000286",
,,"BrnDE000285",
,,"BrnDE000284",
,,"BrnDE000283",
,,"BrnDE000282",
,,"BrnDE000281",
,,"BrnDE000280",
,,"BrnDE000279",
,,"BrnDE000278",
,,"BrnDE000277",
,,"BrnDE000276",
,,"BrnDE000275",
,,"corrH4xePYK",
,,"BrnDE000274",
,,"Ce6l1JY6lpB",
,,"BrnDE000273",
,,"BrnDE000272",
,,"BrnDE000271",
,,"BrnDE000270",
,,"BrnDE000269",
,,"jzBtRIPDkzr",
,,"ER6YJtu93r0",
,,"MlQhKSrJGVX",
,,"BrnDE000268",
,,"opIlbPMfes4",
,,"BrnDE000267",
,,"DBYRvjc3Jtu",
,,"AG84TT8CvQ1",
,,"BrnDE000266",
,,"TPzNGSOVSVb",
,,"uSmWQ8fIv2X",
,,"BrnDE000265",
,,"BrnDE000264",
,,"swBR6YuPpeK",
,,"BrnDE000263",
,,"BrnDE000262",
,,"uAAH38gRx0C",
,,"XIY6NZiIzFM",
,,"BrnDE000261",
,,"ogz27Y4gEpx",
,,"BrnDE000260",
,,"VZi39lMVviK",
,,"BrnDE000259",
,,"zlKXmtaISYf",
,,"PsBY1XiGU3l",
,,"BrnDE000258",
,,"mioodQqLgi6",
,,"BrnDE000257",
,,"eIEr1T5hTMG",
,,"BrnDE000256",
,,"BrnDE000255",
,,"BrnDE000254",
,,"BrnDE000253",
,,"BrnDE000252",
,,"BrnDE000251",
,,"BrnDE000250",
,,"BrnDE000249",
,,"BrnDE000248",
,,"BrnDE000247",
,,"BrnDE000246",
,,"BrnDE000245",
,,"BrnDE000244",
,,"BrnDE000243",
,,"BrnDE000242",
,,"BrnDE000241",
,,"BrnDE000240",
,,"BrnDE000238",
,,"BrnDE000239",
,,"BrnDE000237",
,,"BrnDE000236",
,,"BrnDE000235",
,,"BrnDE000234",
,,"BrnDE000233",
,,"BrnDE000232",
,,"BrnDE000231",
,,"BrnDE000229",
,,"BrnDE000228",
,,"BrnDE000227",
,,"BrnDE000226",
,,"BrnDE000225",
,,"BrnDE000224",
,,"BrnDE000223",
,,"BrnDE000222",
,,"BrnDE000221",
,,"BrnDE000220",
,,"BrnDE000219",
,,"u40NNiSBtUA",
,,"zujxCADTWMF",
,,"BrnDE000218",
,,"BrnDE000217",
,,"BrnDE000216",
,,"deL1cn9RbhH",
,,"BrnDE000215",
,,"BrnDE000214",
,,"BrnDE000212",
,,"BrnDE000211",
,,"BrnDE000213",
,,"BrnDE000210",
,,"BrnDE000209",
,,"BrnDE000208",
